strategy,weighted_avg_return_pct,weighted_avg_regret_pct,win_rate_vs_lump,p05_return_pct,max_regret_pct
Hybrid_25pct_DCA60m_Trigger,83.0899629163774,7.438695301724661,48.03950617283951,3.880370317633841,46.08445647820011
Hybrid_25pct_DCA6m,84.466344977371,6.9867200017286315,20.806172839506175,4.903310046742848,35.547856909048896
Hybrid_25pct_DCA6m_Trigger,83.9462153088401,7.190766517808234,20.806172839506175,4.903310046742848,32.74802887650902
Hybrid_50pct_DCA120m,68.2919879756433,13.89106690872925,9.551851851851852,5.5263993158421565,52.94667762664702
Hybrid_50pct_DCA120m_Trigger,74.65385237647722,11.017805890810818,28.006790123456792,6.725182571412366,49.66710158493059
Hybrid_50pct_DCA12m,83.66978229335723,7.317675911652302,20.806172839506175,4.858483975819583,41.58781458310524
Hybrid_50pct_DCA12m_Trigger,83.43075141839071,7.417302683879256,20.806172839506175,4.858483975819583,38.769751128464215
Hybrid_50pct_DCA1m,80.93834260547273,8.288713262438385,0.0,5.000000000000004,48.053855395974885
Hybrid_50pct_DCA1m_Trigger,80.93834260547273,8.288713262438385,0.0,5.000000000000004,48.053855395974885
Hybrid_50pct_DCA24m,83.2056866380427,7.507432024981388,34.06296296296296,4.705337762507744,43.71437408252684
Hybrid_50pct_DCA24m_Trigger,84.31653169272792,7.074328722743983,34.05925925925925,4.705337762507744,42.238464010821595
Hybrid_50pct_DCA36m,81.73571288245058,8.081061795695433,39.48765432098766,4.5534750932350265,44.940626699569265
Hybrid_50pct_DCA36m_Trigger,84.41596728829515,6.989971257230994,40.599999999999994,4.5534750932350265,43.845323052736944
Hybrid_50pct_DCA3m,82.36088702265873,7.760134403466445,20.806172839506175,4.974189084064906,37.5689777407287
Hybrid_50pct_DCA3m_Trigger,82.19902489403462,7.8195386972111605,20.806172839506175,4.974189084064906,38.26059817452168
Hybrid_50pct_DCA60m,78.00318597844338,9.614459041842395,34.62222222222222,4.253580211755881,47.87262720267844
Hybrid_50pct_DCA60m_Trigger,82.3727561460759,7.722034621962535,48.03950617283951,4.253580211755881,45.5849667391822
Hybrid_50pct_DCA6m,83.29034418673822,7.420717755298554,20.806172839506175,4.935540031161878,38.560567026414766
Hybrid_50pct_DCA6m_Trigger,82.9435910743843,7.556748766018288,20.806172839506175,4.935540031161878,34.871380277914184
Hybrid_75pct_DCA120m,74.615165290558,11.08989008558382,9.551851851851852,5.263199657921218,50.06950699580872
Hybrid_75pct_DCA120m_Trigger,77.79609749097496,9.653259576624603,28.006790123456792,5.862591285706141,47.81793833557861
Hybrid_75pct_DCA12m,82.30406244941497,7.803194587045345,20.806172839506175,4.929241987909738,43.08690092212588
Hybrid_75pct_DCA12m_Trigger,82.18454701193171,7.853007973158822,20.806172839506175,4.929241987909738,41.67786919480535
Hybrid_75pct_DCA1m,80.93834260547273,8.288713262438385,0.0,5.000000000000004,48.053855395974885
Hybrid_75pct_DCA1m_Trigger,80.93834260547273,8.288713262438385,0.0,5.000000000000004,48.053855395974885
Hybrid_75pct_DCA24m,82.07201462175769,7.89807264370989,34.06296296296296,4.852668881253908,44.15018067183667
Hybrid_75pct_DCA24m_Trigger,82.62743714910032,7.681520992591186,34.05925925925925,4.852668881253908,43.41222563598404
Hybrid_75pct_DCA36m,81.33702774396167,8.184887529066904,39.48765432098766,4.776737546617471,45.14298789113844
Hybrid_75pct_DCA36m_Trigger,82.67715494688396,7.639342259834684,40.599999999999994,4.776737546617471,44.21565515694171
Hybrid_75pct_DCA3m,81.64961481406574,8.024423832952408,20.806172839506175,4.987094542032455,39.39486164176975
Hybrid_75pct_DCA3m_Trigger,81.56868374975369,8.054125979824766,20.806172839506175,4.987094542032455,41.30834680104609
Hybrid_75pct_DCA60m,79.47076429195806,8.95158615214039,34.62222222222222,4.626790105877898,47.08386250078318
Hybrid_75pct_DCA60m_Trigger,81.65554937577431,8.005373942200459,48.03950617283951,4.626790105877898,45.085477000164346
Hybrid_75pct_DCA6m,82.11434339610547,7.854715508868466,20.806172839506175,4.967770015580952,41.57327714378062
Hybrid_75pct_DCA6m_Trigger,81.9409668399285,7.922731014228334,20.806172839506175,4.967770015580952,38.82527668732181
LumpSum,80.93834260547273,8.288713262438385,0.0,5.000000000000004,48.053855395974885
LumpSum_Trigger,80.93834260547273,8.288713262438385,0.0,5.000000000000004,48.053855395974885
