Date	Close
2012-10-01	742.33
2012-11-01	781.46
2012-12-01	859.80
2013-01-01	940.25
2013-02-01	975.66
2013-03-01	1034.71
2013-04-01	1165.13
2013-05-01	1135.78
2013-06-01	1133.84
2013-07-01	1131.70
2013-08-01	1106.05
2013-09-01	1194.10
2013-10-01	1194.26
2013-11-01	1258.66
2013-12-01	1302.29
2014-01-01	1220.64
2014-02-01	1211.66
2014-03-01	1202.89
2014-04-01	1162.44
2014-05-01	1201.41
2014-06-01	1262.56
2014-07-01	1289.42
2014-08-01	1277.97
2014-09-01	1326.29
2014-10-01	1333.64
2014-11-01	1410.34
2014-12-01	1407.51
2015-01-01	1415.07
2015-02-01	1523.85
2015-03-01	1543.11
2015-04-01	1592.79
2015-05-01	1673.65
2015-06-01	1630.40
2015-07-01	1659.52
2015-08-01	1537.05
2015-09-01	1411.16
2015-10-01	1558.20
2015-11-01	1580.25
2015-12-01	1547.30
2016-01-01	1432.07
2016-02-01	1297.85
2016-03-01	1347.20
2016-04-01	1340.55
2016-05-01	1379.80
2016-06-01	1245.82
2016-07-01	1322.74
2016-08-01	1329.54
2016-09-01	1322.78
2016-10-01	1393.02
2016-11-01	1469.43
2016-12-01	1518.61
2017-01-01	1521.67
2017-02-01	1535.32
2017-03-01	1512.60
2017-04-01	1531.80
2017-05-01	1568.37
2017-06-01	1611.90
2017-07-01	1618.61
2017-08-01	1617.41
2017-09-01	1674.75
2017-10-01	1765.96
2017-11-01	1792.08
2017-12-01	1817.56
2018-01-01	1836.71
2018-02-01	1768.24
2018-03-01	1716.30
2018-04-01	1777.23
2018-05-01	1747.45
2018-06-01	1730.89
2018-07-01	1753.29
2018-08-01	1735.35
2018-09-01	1817.25
2018-10-01	1646.12
2018-11-01	1667.45
2018-12-01	1494.09
2019-01-01	1567.49
2019-02-01	1607.66
2019-03-01	1591.64
2019-04-01	1617.93
2019-05-01	1512.28
2019-06-01	1551.14
2019-07-01	1565.14
2019-08-01	1511.86
2019-09-01	1587.80
2019-10-01	1667.01
2019-11-01	1699.36
2019-12-01	1721.36
2020-01-01	1684.44
2020-02-01	1510.87
2020-03-01	1403.04
2020-04-01	1464.03
2020-05-01	1563.67
2020-06-01	1558.77
2020-07-01	1496.06
2020-08-01	1618.18
2020-09-01	1625.49
2020-10-01	1579.33
2020-11-01	1754.92
2020-12-01	1804.68
2021-01-01	1808.78
2021-02-01	1864.49
2021-03-01	1954.00
2021-04-01	1898.24
2021-05-01	1922.98
2021-06-01	1943.57
2021-07-01	1901.08
2021-08-01	1960.70
2021-09-01	2030.16
2021-10-01	2001.18
2021-11-01	1928.35
2021-12-01	1992.33
2022-01-01	1895.93
2022-02-01	1886.93
2022-03-01	1946.40
2022-04-01	1899.62
2022-05-01	1912.67
2022-06-01	1870.82
2022-07-01	1940.31
2022-08-01	1963.16
2022-09-01	1835.94
2022-10-01	1929.43
2022-11-01	1985.57
2022-12-01	1891.71
2023-01-01	1975.27
2023-02-01	1993.28
2023-03-01	2003.50
2023-04-01	2057.48
2023-05-01	2130.63
2023-06-01	2288.60
2023-07-01	2322.56
2023-08-01	2332.00
2023-09-01	2323.39
2023-10-01	2253.72
2023-11-01	2374.93
2023-12-01	2366.39
2024-01-01	2551.10
2024-02-01	2675.73
2024-03-01	2768.62
2024-04-01	2743.17
2024-05-01	2772.49
2024-06-01	2809.63
2024-07-01	2794.26
2024-08-01	2712.63
2024-09-01	2645.94
2024-10-01	2695.51
2024-11-01	2680.71
2024-12-01	2784.92
2025-01-01	2788.66
2025-02-01	2736.53
2025-03-01	2658.73
2025-04-01	2667.29
2025-05-01	2801.57
2025-06-01	2852.84
2025-07-01	2943.07
2025-08-01	3075.18
2025-09-01	3137.60
2025-10-01	3331.83
2025-11-01	3378.44
2025-12-01	3408.97
2026-01-01	3566.32
2026-02-01	3938.68
2026-03-01	3497.86
2026-04-01	3727.21
2026-05-01	3728.73
