amounts,ratios,avg_return_pct,median_return_pct,min_return_pct,max_return_pct,avg_cagr_pct,avg_max_drawdown_pct,worst_drawdown_pct,avg_unused_cash,avg_trigger_count
"(100, 100, 100, 300, 400)","(0.7, 0.5, 0.5, 0.5, 0.3)",172.54995633747546,158.03333026812956,-20.772719493146262,655.6989673351165,9.187088045496202,35.38853231388589,63.09677255964259,2714285.714285714,4.246305418719212
"(0, 100, 200, 300, 400)","(0.7, 0.7, 0.5, 0.5, 0.5)",172.34023955142288,153.1428400237982,-11.636931863945389,650.7619253288084,9.24529571209839,34.90220074259936,61.712934471886726,2714285.714285714,4.246305418719212
"(100, 100, 100, 300, 400)","(0.7, 0.7, 0.5, 0.5, 0.5)",172.28579222210817,159.43127436997298,-14.898494102216775,650.6203740464589,9.267582319357366,34.74321387640496,61.50015648668881,2714285.714285714,4.246305418719212
"(100, 100, 200, 200, 200)","(0.7, 0.7, 0.5, 0.5, 0.5)",172.1007814904223,157.87540810748112,-14.606815490096059,572.3675131543821,9.200284277942176,31.467090776598948,53.97688236583679,3507389.1625615763,4.246305418719212
"(100, 100, 100, 300, 300)","(0.5, 0.3, 0.3, 0.3, 0.3)",171.87367948584998,156.5695613444932,-24.217518510751525,625.9276060102966,9.015705631197395,34.61028392802107,60.82020433890432,3261083.7438423648,4.246305418719212
"(100, 100, 100, 300, 400)","(0.7, 0.7, 0.7, 0.7, 0.7)",171.82367333390528,161.3264675402778,-6.197248058734594,641.8389992530699,9.398444403411363,33.94652242827266,60.21615473579973,2714285.714285714,4.246305418719212
"(0, 0, 300, 300, 400)","(0.5, 0.5, 0.5, 0.3, 0.3)",171.53435754479887,142.85193668379992,-19.176025480331738,659.5433001221973,9.050002695091182,35.901679981008876,64.13232283376136,2714285.714285714,4.246305418719212
"(0, 0, 300, 300, 400)","(0.7, 0.5, 0.5, 0.3, 0.3)",171.53435754479887,142.85193668379992,-19.176025480331738,659.5433001221973,9.050002695091182,35.901679981008876,64.13232283376136,2714285.714285714,4.246305418719212
"(0, 0, 300, 300, 400)","(0.7, 0.7, 0.5, 0.3, 0.3)",171.53435754479887,142.85193668379992,-19.176025480331738,659.5433001221973,9.050002695091182,35.901679981008876,64.13232283376136,2714285.714285714,4.246305418719212
"(0, 200, 200, 200, 200)","(0.7, 0.7, 0.5, 0.5, 0.5)",171.52764724722007,139.44505431766393,-12.456231176857314,579.6780503558522,9.181102545067313,31.465723023840614,53.97688236583679,3507389.1625615763,4.246305418719212
"(0, 100, 200, 300, 300)","(0.3, 0.3, 0.3, 0.3, 0.3)",171.46849879446245,138.46156915271996,-22.467265899744447,648.5791413270645,8.984627421878375,34.8145060035615,61.09186975986295,3261083.7438423648,4.246305418719212
"(0, 100, 200, 300, 300)","(0.5, 0.3, 0.3, 0.3, 0.3)",171.46849879446245,138.46156915271996,-22.467265899744447,648.5791413270645,8.984627421878375,34.8145060035615,61.09186975986295,3261083.7438423648,4.246305418719212
"(0, 100, 200, 300, 300)","(0.7, 0.3, 0.3, 0.3, 0.3)",171.46849879446245,138.46156915271996,-22.467265899744447,648.5791413270645,8.984627421878375,34.8145060035615,61.09186975986295,3261083.7438423648,4.246305418719212
"(100, 100, 200, 200, 200)","(0.7, 0.7, 0.5, 0.3, 0.3)",171.43728753744676,157.13695413331337,-18.957438511837122,587.9231609086969,9.081058650663955,31.937661324361986,55.216800657728896,3507389.1625615763,4.246305418719212
"(100, 100, 200, 200, 200)","(0.7, 0.7, 0.5, 0.5, 0.3)",171.22433619106715,157.47949006604026,-17.083520793118623,572.3675131543821,9.127599556011292,31.6522509227826,54.69125371598339,3507389.1625615763,4.246305418719212
"(0, 0, 300, 300, 400)","(0.5, 0.5, 0.5, 0.5, 0.3)",171.21493052522942,145.59678435994869,-15.47936454495792,655.8405186174662,9.115219708043515,35.47517679598209,63.28605543417244,2714285.714285714,4.246305418719212
"(0, 0, 300, 300, 400)","(0.7, 0.5, 0.5, 0.5, 0.3)",171.21493052522942,145.59678435994869,-15.47936454495792,655.8405186174662,9.115219708043515,35.47517679598209,63.28605543417244,2714285.714285714,4.246305418719212
"(0, 0, 300, 300, 400)","(0.7, 0.7, 0.5, 0.5, 0.3)",171.21493052522942,145.59678435994869,-15.47936454495792,655.8405186174662,9.115219708043515,35.47517679598209,63.28605543417244,2714285.714285714,4.246305418719212
"(0, 100, 200, 300, 400)","(0.7, 0.7, 0.5, 0.3, 0.3)",170.90677597228193,149.18667089177586,-20.238300040861358,659.4017488398476,9.04432736042051,35.69123586779431,63.890787783867296,2714285.714285714,4.246305418719212
"(0, 200, 200, 200, 200)","(0.7, 0.7, 0.5, 0.3, 0.3)",170.86415329424455,137.05204624747856,-17.441004453318087,595.2336981101669,9.063375336500089,31.930730863543022,55.216800657728896,3507389.1625615763,4.246305418719212
"(100, 100, 100, 300, 400)","(0.7, 0.7, 0.5, 0.3, 0.3)",170.85232864296722,154.0747937035362,-22.662781286339662,659.2601975574981,9.064338415730521,35.540942828287704,63.709196076957944,2714285.714285714,4.246305418719212
"(0, 200, 200, 200, 200)","(0.7, 0.7, 0.5, 0.5, 0.3)",170.65120194786493,137.4627735503602,-14.97470888587542,579.6780503558522,9.109286618399825,31.648479805677763,54.69125371598339,3507389.1625615763,4.246305418719212
"(0, 100, 200, 300, 400)","(0.7, 0.7, 0.5, 0.5, 0.3)",170.58734895271252,149.18667089177586,-16.59034246999054,655.6989673351165,9.109276289039189,35.262715491219794,63.051123221840086,2714285.714285714,4.246305418719212
"(100, 100, 100, 300, 400)","(0.7, 0.7, 0.5, 0.5, 0.3)",170.53290162339783,155.0494433235825,-19.851904708261912,655.5574160527668,9.129823608976176,35.107660930267336,62.85860301814496,2714285.714285714,4.246305418719212
"(100, 100, 100, 300, 400)","(0.7, 0.7, 0.7, 0.5, 0.5)",170.39020975476436,157.09855243199837,-13.961535242857526,650.4788227641092,9.212571938055758,34.49227591955004,61.27006095445985,2714285.714285714,4.246305418719212
"(100, 100, 100, 300, 400)","(0.7, 0.7, 0.7, 0.7, 0.5)",170.07078273519494,158.4670245639372,-11.150658664779778,646.7760412593782,9.269708634913643,34.17526398095934,60.7223523637675,2714285.714285714,4.246305418719212
"(0, 100, 200, 300, 400)","(0.7, 0.7, 0.7, 0.7, 0.7)",169.9825381958761,156.40007189517374,-1.9987269611039804,641.8389992530699,9.31313253932064,33.83336845313151,60.223932909379606,2714285.714285714,4.246305418719212
"(0, 0, 300, 300, 300)","(0.3, 0.3, 0.3, 0.3, 0.3)",169.95755340616807,136.4090603341499,-20.497418940902424,654.134780141698,8.930368784859864,34.756861009200165,61.11644513968167,3261083.7438423648,4.246305418719212
"(0, 0, 300, 300, 300)","(0.5, 0.3, 0.3, 0.3, 0.3)",169.95755340616807,136.4090603341499,-20.497418940902424,654.134780141698,8.930368784859864,34.756861009200165,61.11644513968167,3261083.7438423648,4.246305418719212
"(0, 0, 300, 300, 300)","(0.5, 0.5, 0.3, 0.3, 0.3)",169.95755340616807,136.4090603341499,-20.497418940902424,654.134780141698,8.930368784859864,34.756861009200165,61.11644513968167,3261083.7438423648,4.246305418719212
"(0, 0, 300, 300, 300)","(0.7, 0.3, 0.3, 0.3, 0.3)",169.95755340616807,136.4090603341499,-20.497418940902424,654.134780141698,8.930368784859864,34.756861009200165,61.11644513968167,3261083.7438423648,4.246305418719212
"(0, 0, 300, 300, 300)","(0.7, 0.5, 0.3, 0.3, 0.3)",169.95755340616807,136.4090603341499,-20.497418940902424,654.134780141698,8.930368784859864,34.756861009200165,61.11644513968167,3261083.7438423648,4.246305418719212
"(0, 0, 300, 300, 300)","(0.7, 0.7, 0.3, 0.3, 0.3)",169.95755340616807,136.4090603341499,-20.497418940902424,654.134780141698,8.930368784859864,34.756861009200165,61.11644513968167,3261083.7438423648,4.246305418719212
"(100, 100, 100, 300, 300)","(0.5, 0.5, 0.3, 0.3, 0.3)",169.8566247717724,151.24692901877316,-23.296703725867175,617.3238965557803,8.966856037700687,34.34004527325965,60.5755212816579,3261083.7438423648,4.246305418719212
"(100, 100, 100, 300, 300)","(0.7, 0.3, 0.3, 0.3, 0.3)",169.51846899780392,151.14319981798792,-24.057177757895964,618.6116912881154,8.950086242745343,34.350311661915434,60.5755212816579,3261083.7438423648,4.246305418719212
