initial_ratio,amounts,ratios,avg_return_pct,median_return_pct,min_return_pct,max_return_pct,avg_cagr_pct,avg_max_drawdown_pct,worst_drawdown_pct,avg_unused_cash,avg_trigger_count
0.2,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.3, 0.3, 0.3)",303.26919723092436,189.96594341586626,-57.67031129594962,1117.9802063372244,11.466003847347203,50.25165502543546,79.16234309031215,0.0,4.8076923076923075
0.0,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.5, 0.5, 0.3)",302.3323765479154,224.1512741083508,-54.44996281523051,1201.3455398255933,11.679241173603957,49.75756773577213,76.05468950658877,384615.3846153846,4.8076923076923075
0.0,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.7, 0.3, 0.3)",302.2020684720877,223.8008385609258,-55.54152550375137,1201.3455398255933,11.665827127046121,49.787817279937414,76.29233852639136,384615.3846153846,4.8076923076923075
0.0,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.5, 0.5, 0.5)",301.8851963866269,224.59813691373995,-52.7731395743311,1179.2382002833265,11.774220122460546,49.352807585237656,75.06228580837453,384615.3846153846,4.8076923076923075
0.2,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.5, 0.3, 0.3)",301.7574930349974,190.57254520046664,-57.47975402623784,1095.8728667949579,11.529923526192423,49.817412464942066,78.67931963950998,0.0,4.8076923076923075
0.4,"(200, 200, 200, 200, 200)","(0.5, 0.3, 0.3, 0.3, 0.3)",300.9794931649256,158.0616682589816,-59.89649590391992,1056.7222123911226,11.071368386339957,51.62633667349841,81.93475668074103,0.0,4.8076923076923075
0.0,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.7, 0.5, 0.3)",300.82067235198843,224.6855802701734,-54.25940554551873,1179.2382002833265,11.733648018117398,49.31424771138843,75.49746517956308,384615.3846153846,4.8076923076923075
0.2,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.5, 0.5, 0.3)",300.3760969148982,191.64260499758092,-56.1976340680052,1073.7655272526913,11.60453503426541,49.352221636720856,77.92430163603423,0.0,4.8076923076923075
0.2,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.5, 0.5, 0.5)",300.3760969148982,191.64260499758092,-56.1976340680052,1073.7655272526913,11.60453503426541,49.352221636720856,77.92430163603423,0.0,4.8076923076923075
0.0,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.7, 0.5, 0.5)",300.37349219069995,225.13244307556255,-52.58258230461934,1157.1308607410601,11.825895461725889,48.911265599880714,74.48950845481322,384615.3846153846,4.8076923076923075
0.2,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.7, 0.3, 0.3)",300.2457888390705,191.28157771209686,-57.28919675652608,1073.7655272526913,11.59071210066605,49.38674809619563,78.18169804105825,0.0,4.8076923076923075
0.0,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.7, 0.7, 0.3)",299.43927623188915,225.570321979421,-52.97728558728607,1157.1308607410601,11.798303605822527,48.841058820762555,74.7025918327348,384615.3846153846,4.8076923076923075
0.0,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.7, 0.7, 0.5)",298.9920960706007,226.01718478481018,-51.30046234638669,1135.0235211987933,11.88755493382833,48.44109622320782,73.69463510798494,384615.3846153846,4.8076923076923075
0.2,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.7, 0.5, 0.3)",298.8643927189712,192.35163750921117,-56.00707679829342,1051.6581877104247,11.662260225402743,48.92381544273415,77.41527079412393,0.0,4.8076923076923075
0.2,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.7, 0.5, 0.5)",298.8643927189712,192.35163750921117,-56.00707679829342,1051.6581877104247,11.662260225402743,48.92381544273415,77.41527079412393,0.0,4.8076923076923075
0.0,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.7, 0.7, 0.7)",298.54491590931224,226.4640475901993,-49.62363910548729,1112.9161816565268,11.973619614835028,48.04515843828601,72.68667838323508,384615.3846153846,4.8076923076923075
0.2,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.7, 0.7, 0.3)",297.482996598872,193.42169730632554,-54.724956840060756,1029.5508481681582,11.73051690305519,48.46479040117394,76.64884354718961,0.0,4.8076923076923075
0.2,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.7, 0.7, 0.5)",297.482996598872,193.42169730632554,-54.724956840060756,1029.5508481681582,11.73051690305519,48.46479040117394,76.64884354718961,0.0,4.8076923076923075
0.2,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.7, 0.7, 0.7)",297.482996598872,193.42169730632554,-54.724956840060756,1029.5508481681582,11.73051690305519,48.46479040117394,76.64884354718961,0.0,4.8076923076923075
0.4,"(200, 200, 200, 200, 200)","(0.7, 0.3, 0.3, 0.3, 0.3)",296.9641927568028,159.92829867530645,-59.64240658641845,1034.6148728488558,11.088891923374442,51.13674987736938,81.55418883700149,0.0,4.8076923076923075
0.4,"(200, 200, 200, 200, 200)","(0.5, 0.5, 0.3, 0.3, 0.3)",296.89159031453613,158.77070077061182,-59.64345619031466,1034.6148728488558,11.086569544625222,51.144793758156695,81.55848497661198,0.0,4.8076923076923075
0.4,"(200, 200, 200, 200, 200)","(0.5, 0.5, 0.5, 0.3, 0.3)",295.3798861186092,160.6216834584704,-59.45289892060289,1012.5075333065892,11.157422698988295,50.709799115999054,81.1436318673528,0.0,4.8076923076923075
0.4,"(200, 200, 200, 200, 200)","(0.5, 0.5, 0.5, 0.5, 0.3)",295.3798861186092,160.6216834584704,-59.45289892060289,1012.5075333065892,11.157422698988295,50.709799115999054,81.1436318673528,0.0,4.8076923076923075
0.4,"(200, 200, 200, 200, 200)","(0.5, 0.5, 0.5, 0.5, 0.5)",295.3798861186092,160.6216834584704,-59.45289892060289,1012.5075333065892,11.157422698988295,50.709799115999054,81.1436318673528,0.0,4.8076923076923075
0.4,"(200, 200, 200, 200, 200)","(0.7, 0.5, 0.3, 0.3, 0.3)",292.87628990641326,160.66479583978406,-59.389366872813184,1012.5075333065892,11.099593005969048,50.65257247032477,81.16965878587459,0.0,4.8076923076923075
0.6,"(200, 200, 200, 200, 200)","(0.3, 0.3, 0.3, 0.3, 0.3)",291.39418918531044,138.81485525138373,-58.62909759046977,989.3542318601407,10.800281917479092,51.686033446669285,79.55617338019373,0.0,4.8076923076923075
0.4,"(200, 200, 200, 200, 200)","(0.7, 0.5, 0.5, 0.3, 0.3)",291.3645857104863,163.84852113077017,-59.198809603101424,990.4001937643226,11.167254915111736,50.21751416662944,80.74475249081743,0.0,4.8076923076923075
0.4,"(200, 200, 200, 200, 200)","(0.7, 0.5, 0.5, 0.5, 0.3)",291.3645857104863,163.84852113077017,-59.198809603101424,990.4001937643226,11.167254915111736,50.21751416662944,80.74475249081743,0.0,4.8076923076923075
0.4,"(200, 200, 200, 200, 200)","(0.7, 0.5, 0.5, 0.5, 0.5)",291.3645857104863,163.84852113077017,-59.198809603101424,990.4001937643226,11.167254915111736,50.21751416662944,80.74475249081743,0.0,4.8076923076923075
0.2,"(100, 100, 200, 200, 300)","(0.3, 0.3, 0.3, 0.3, 0.3)",289.446555009551,199.59803087421207,-55.00416524795462,1206.4095645062912,11.021614361338653,51.050047682576185,75.81032431913683,384615.3846153846,4.8076923076923075
0.4,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.3, 0.3, 0.3)",288.7883870560238,163.84852113077017,-59.136327159207916,990.4001937643226,11.105721422589996,50.16363478757858,80.77671055876209,0.0,4.8076923076923075
0.4,"(100, 100, 200, 200, 300)","(0.3, 0.3, 0.3, 0.3, 0.3)",287.4902753765338,167.46938936619034,-56.751836500729304,1078.829551933389,10.924405604149246,50.865343308839826,77.93614082921769,0.0,4.8076923076923075
0.2,"(100, 100, 200, 200, 300)","(0.5, 0.3, 0.3, 0.3, 0.3)",287.4389048054896,200.47043709742843,-54.87712058920386,1195.3558947351578,11.020916464226179,50.80043841954356,75.54237277790466,384615.3846153846,4.8076923076923075
0.6,"(200, 200, 200, 200, 200)","(0.5, 0.3, 0.3, 0.3, 0.3)",287.37888877718757,144.52737285268802,-58.37500827296829,942.3021055998257,10.82102859946381,51.19748723820422,79.11179434006961,0.0,4.8076923076923075
0.4,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.5, 0.3, 0.3)",287.2766828600968,168.68345092061065,-58.945769889496155,968.292854222056,11.17020329353003,49.7270477812675,80.3415416411673,0.0,4.8076923076923075
0.4,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.5, 0.5, 0.3)",287.2766828600968,168.68345092061065,-58.945769889496155,968.292854222056,11.17020329353003,49.7270477812675,80.3415416411673,0.0,4.8076923076923075
0.4,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.5, 0.5, 0.5)",287.2766828600968,168.68345092061065,-58.945769889496155,968.292854222056,11.17020329353003,49.7270477812675,80.3415416411673,0.0,4.8076923076923075
0.4,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.7, 0.3, 0.3)",285.76497866416986,174.13144086652423,-58.75521261978438,946.1855146797893,11.231354113804562,49.29099804280766,79.89391323817516,0.0,4.8076923076923075
0.4,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.7, 0.5, 0.3)",285.76497866416986,174.13144086652423,-58.75521261978438,946.1855146797893,11.231354113804562,49.29099804280766,79.89391323817516,0.0,4.8076923076923075
0.4,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.7, 0.5, 0.5)",285.76497866416986,174.13144086652423,-58.75521261978438,946.1855146797893,11.231354113804562,49.29099804280766,79.89391323817516,0.0,4.8076923076923075
0.4,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.7, 0.7, 0.3)",285.76497866416986,174.13144086652423,-58.75521261978438,946.1855146797893,11.231354113804562,49.29099804280766,79.89391323817516,0.0,4.8076923076923075
0.4,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.7, 0.7, 0.5)",285.76497866416986,174.13144086652423,-58.75521261978438,946.1855146797893,11.231354113804562,49.29099804280766,79.89391323817516,0.0,4.8076923076923075
0.4,"(200, 200, 200, 200, 200)","(0.7, 0.7, 0.7, 0.7, 0.7)",285.76497866416986,174.13144086652423,-58.75521261978438,946.1855146797893,11.231354113804562,49.29099804280766,79.89391323817516,0.0,4.8076923076923075
0.4,"(100, 100, 200, 200, 300)","(0.5, 0.3, 0.3, 0.3, 0.3)",285.4826251724724,168.4027045743528,-56.62479184197857,1067.7758821622556,10.929386086885925,50.60276861575188,77.69643310808118,0.0,4.8076923076923075
0.2,"(100, 100, 200, 200, 300)","(0.7, 0.3, 0.3, 0.3, 0.3)",285.4312546014281,201.34284332064476,-54.750075930453136,1184.3022249640244,11.018786596022116,50.548621916962865,75.27090506613803,384615.3846153846,4.8076923076923075
0.2,"(100, 100, 200, 200, 300)","(0.5, 0.5, 0.3, 0.3, 0.3)",285.39495338029485,200.73759017833967,-54.75060073240123,1184.3022249640244,11.017980214795923,50.53866777546129,75.27413028583314,384615.3846153846,4.8076923076923075
0.2,"(100, 100, 200, 200, 300)","(0.5, 0.5, 0.5, 0.3, 0.3)",283.8832491843678,201.2718963401623,-54.56004346268948,1162.1948854217576,11.080939304912352,50.084237403376896,74.66730880099715,384615.3846153846,4.8076923076923075
0.4,"(100, 100, 200, 200, 300)","(0.7, 0.3, 0.3, 0.3, 0.3)",283.47497496841095,169.33601978251522,-56.497747183227844,1056.7222123911226,10.933111886252316,50.33831365673242,77.4537590459332,0.0,4.8076923076923075
0.4,"(100, 100, 200, 200, 300)","(0.5, 0.5, 0.3, 0.3, 0.3)",283.4386737472777,168.75722083016794,-56.49827198517594,1056.7222123911226,10.93204839096463,50.34155372330316,77.45659283784788,0.0,4.8076923076923075
0.2,"(100, 100, 200, 200, 300)","(0.7, 0.5, 0.3, 0.3, 0.3)",283.3873031762334,201.60999640155597,-54.623556073650505,1173.248555192891,11.014409996367837,50.28409462858984,74.999125970596,384615.3846153846,4.8076923076923075
0.6,"(200, 200, 200, 200, 200)","(0.7, 0.3, 0.3, 0.3, 0.3)",283.3635883690647,148.5268157916999,-58.120918955466806,907.034860275954,10.837264464434163,50.70418882448597,78.65671695090695,0.0,4.8076923076923075
0.6,"(200, 200, 200, 200, 200)","(0.5, 0.5, 0.3, 0.3, 0.3)",283.290985926798,148.5268157916999,-58.121968559363026,907.034860275954,10.834421515534151,50.719022499861644,78.66200684062987,0.0,4.8076923076923075
0.6,"(200, 200, 200, 200, 200)","(0.5, 0.5, 0.5, 0.3, 0.3)",283.290985926798,148.5268157916999,-58.121968559363026,907.034860275954,10.834421515534151,50.719022499861644,78.66200684062987,0.0,4.8076923076923075
0.6,"(200, 200, 200, 200, 200)","(0.5, 0.5, 0.5, 0.5, 0.3)",283.290985926798,148.5268157916999,-58.121968559363026,907.034860275954,10.834421515534151,50.719022499861644,78.66200684062987,0.0,4.8076923076923075
0.6,"(200, 200, 200, 200, 200)","(0.5, 0.5, 0.5, 0.5, 0.5)",283.290985926798,148.5268157916999,-58.121968559363026,907.034860275954,10.834421515534151,50.719022499861644,78.66200684062987,0.0,4.8076923076923075
0.2,"(100, 100, 200, 200, 300)","(0.5, 0.5, 0.5, 0.5, 0.3)",282.50185306426863,202.1566380494099,-53.277923504456815,1140.087545879491,11.154000331591998,49.60099023067054,73.82028091060695,384615.3846153846,4.8076923076923075
