strategy,vix_threshold,buy_ratios,buy_target_ratio,avg_return_pct,median_return_pct,min_return_pct,max_return_pct,avg_cagr_pct,median_cagr_pct,min_cagr_pct,max_cagr_pct,avg_max_drawdown_pct,worst_drawdown_pct,avg_unused_cash,avg_buy_count,window_count,initial_ratio
VIX,35.0,"(0.7, 0.5, 0.3, 0.3, 0.3)","(0.7, 0.3)",285.9734858840954,264.3257896343344,-41.47796958377457,1040.8198884347007,12.097433946308952,13.801763353513596,-5.216675247367242,27.562114142662875,43.36377838815177,65.12299692334182,0.0,12.0,209,0.2
VIX,35.0,"(0.5, 0.5, 0.3, 0.3, 0.3)","(0.7, 0.3)",284.4271840850679,263.9625227979712,-41.602464778228466,1038.9063537843886,12.077592308516973,13.790411160351447,-5.236858039641367,27.54070156330579,43.0261979307299,65.12983174738132,0.0,12.0,209,0.2
VIX,35.0,"(0.7, 0.7, 0.7, 0.7, 0.7)","(0.7, 0.3)",286.2840314636883,259.3936293029607,-39.59980425106263,1048.8082151352064,12.073743761803705,13.646754420276741,-4.91679009460354,27.651156339919723,44.65286014559184,65.45141634098724,0.0,6.0,209,0.2
VIX,35.0,"(0.7, 0.5, 0.5, 0.3, 0.3)","(0.7, 0.3)",285.318368894837,262.80830481373994,-41.175084469329136,1040.2429702900781,12.072348144656152,13.754273718378673,-5.167733312053291,27.555661796270982,43.63819918179976,65.1140865305306,0.0,11.0,209,0.2
VIX,35.0,"(0.3, 0.3, 0.3, 0.3, 0.3)","(0.7, 0.3)",282.0148572773626,252.8623465409948,-40.52899304300197,1035.1236511071274,12.071722735654339,13.438514782850808,-5.0640874737636015,27.498277430489225,42.34174413269804,65.14972281544729,0.0,14.0,209,0.2
VIX,35.0,"(0.7, 0.5, 0.3, 0.3, 0.3)","(0.3, 0.7)",334.2610419991167,222.00684083072463,-53.23591316492173,1292.279370313722,12.0703836028691,12.405227726777944,-7.318885875228343,30.128564463572218,50.919595131199294,76.9378778006446,0.0,8.0,209,0.4
VIX,35.0,"(0.7, 0.5, 0.5, 0.3, 0.3)","(0.3, 0.7)",334.53681989834155,220.2361234451002,-53.420194452343786,1287.9056331002257,12.057083613199357,12.343262539217314,-7.355473262731338,30.087627685218266,51.02996812608022,77.022748080432,0.0,8.0,209,0.4
VIX,35.0,"(0.3, 0.3, 0.5, 0.5, 0.7)","(0.5, 0.5)",309.49081859616797,227.12560170494288,-47.88977300065304,1132.9462162384748,12.047041816290193,12.582646491448578,-6.3102033133510265,28.556610451891018,48.47979891416808,72.68909902990673,0.0,6.0,209,0.4
VIX,35.0,"(0.7, 0.7, 0.5, 0.5, 0.3)","(0.5, 0.5)",299.29551451712274,264.0863868460857,-45.975612130574916,1118.627722468899,12.041015658843817,13.794283092774506,-5.971613138270349,28.406528642541517,46.32034658387775,68.3417193059798,0.0,10.0,209,0.2
VIX,35.0,"(0.5, 0.5, 0.3, 0.3, 0.3)","(0.3, 0.7)",330.6763819444735,224.54066186202107,-53.19851361013033,1284.2282275638886,12.030949628946734,12.493365979960958,-7.311476374008718,30.05311840018694,50.76707317162621,76.92159267670348,0.0,9.0,209,0.4
