dca_years,weights,avg_return_pct,median_return_pct,min_return_pct,max_return_pct,avg_cagr_pct,avg_max_drawdown_pct,worst_drawdown_pct
5,"(0.0, 0.7, 0.3)",144.10529711273773,123.92355008178275,-46.0947415315996,439.0616866089423,7.829891514516171,43.986151410920485,61.38678511829963
1,"(0.4, 0.4, 0.2)",142.39397864691256,83.95589477996708,-48.96826916588852,484.781857802299,7.395695811848625,45.48556918972583,62.26270846207704
3,"(0.3, 0.4, 0.3)",139.45677033334078,105.65534176064688,-49.61924716000843,458.67787248941687,7.457645749899056,44.631563107025194,62.34860897570822
3,"(0.3, 0.5, 0.2)",136.49331611860438,105.8769150017564,-49.12105692040666,424.2943025631386,7.438050442448416,44.280607517240796,61.97167593081927
5,"(0.2, 0.4, 0.4)",134.50883947842445,110.11858401950347,-46.72428832781591,445.64890723843877,7.3485034539987195,44.60924134919127,62.304985029439116
1,"(0.5, 0.3, 0.2)",133.85329660867274,78.11173701848485,-48.495838589402155,466.1921423065264,7.068967872852858,45.689201803552116,62.54752541322798
5,"(0.2, 0.5, 0.3)",132.12775345393305,109.74077468497075,-45.89715958738514,417.96778515262616,7.333729522500186,44.27701493099752,61.90708442406159
3,"(0.4, 0.4, 0.2)",129.290470137096,97.62532828707563,-48.704012371957916,410.44582385394125,7.143233617918937,44.46137743313674,62.22657425436038
1,"(0.5, 0.5, 0.0)",126.35561749868145,87.77082732970638,-48.19890716081909,376.52782197507264,6.990805475764774,45.05506347404498,61.79125137107106
5,"(0.3, 0.4, 0.3)",126.13898162453077,102.6451735154865,-45.798368615277894,407.42083442446904,7.076469658973522,44.42889802364929,62.16582192469515
5,"(0.3, 0.5, 0.2)",123.75789560003939,103.54719027977131,-44.971239874847114,379.7397123386566,7.056277089393932,44.100367029262465,61.770474617636395
3,"(0.5, 0.3, 0.2)",122.08762415558772,89.37374157239479,-48.28696782350925,396.59734514474405,6.8393244095800245,44.67699077227718,62.4798101098078
5,"(0.4, 0.4, 0.2)",117.76912377063707,97.32943768205449,-44.87244890273991,369.1927616104981,6.791136840694926,44.28198410467333,62.02810946501789
3,"(0.5, 0.5, 0.0)",116.16071572611483,89.67221684210554,-47.29058734430572,327.8306597802083,6.773270434199042,44.112583974554134,61.73564211402079
5,"(0.5, 0.3, 0.2)",111.78035194123488,91.32488415281924,-44.77365793063252,358.6458108823404,6.518947445163224,44.48091687517065,62.28481850398848
1,"(0.7, 0.3, 0.0)",109.2742534222019,75.99358306389615,-47.25404600784626,333.8169551188365,6.2857092678516375,45.58624889481814,62.3272303235979
5,"(0.5, 0.5, 0.0)",107.01817989225218,93.88785775784325,-43.11940044977097,303.7917589966965,6.458476679991833,43.94739007178075,61.50149056492575
3,"(0.7, 0.3, 0.0)",101.75502376309811,73.01995939152033,-46.4564982474083,301.29579438226494,6.124917744365062,44.57852204998717,62.23811906498425
5,"(0.7, 0.3, 0.0)",95.04063623344753,82.0374319787899,-42.921818505556644,283.6719743474643,5.883527065605444,44.36602815156407,62.01149428376343
1,"(1.0, 0.0, 0.0)",83.65220730748258,58.18345654024053,-45.836754278387005,280.2449994588608,5.1097230994962235,46.4710015160698,63.11715581424468
3,"(1.0, 0.0, 0.0)",80.14648581857325,53.5792702462298,-45.20536460206216,261.493496285348,5.061586737050411,45.35128757406063,62.97983427560813
5,"(1.0, 0.0, 0.0)",77.07432074524078,62.186843276572766,-42.625445589234786,253.49229737361574,4.9535997035513955,45.08721499569398,62.76973412967063
